"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","entrezgene_id"
"21498","206818_s_at",-0.0946582968924474,4.51509791867945,-1.10153931005075,0.271237657745471,0.377547477457227,-6.43927867301631,54805
"21499","228132_at",-0.0654697728426674,4.14459406215074,-1.10142895497627,0.271285610532007,0.377579772788046,-6.43939925829913,84448
"21500","219910_at",0.0789590144470553,4.96291493677838,1.10142041301936,0.271289322526658,0.377579772788046,-6.43940859161706,11153
"21501","239499_at",-0.085342796359817,4.48596527601335,-1.10139880370533,0.27129871323071,0.377579772788046,-6.43943220258271,146754
"21502","220210_at",-0.0633150529414257,4.63135164742543,-1.10124037488551,0.271367568058757,0.377658036768219,-6.4396052924511,57053
"21503","226750_at",0.150841169380049,6.19750237919619,1.10112969199594,0.271415679129626,0.377707426046362,-6.43972620327099,55132
"21504","213105_s_at",-0.0913123295918066,7.63941199455435,-1.10098711648796,0.271477661758247,0.377776113767382,-6.43988193601135,115939
"21505","200779_at",0.102691074633256,11.3871231458172,1.10070143189533,0.271601888249336,0.37793140683437,-6.44019392394351,468
"21506","1564274_at",-0.0802374534415762,3.58271388781636,-1.10052740197557,0.271677582196007,0.378015885963426,-6.44038393754336,1903
"21507","1569269_s_at",-0.0617213370792999,3.54171001861742,-1.10050376407071,0.271687864570759,0.378015885963426,-6.44040974415296,57522
"21508","209091_s_at",-0.135831330980221,9.36810444086422,-1.10041362481759,0.27172707716538,0.378050421561873,-6.44050814834386,51100
"21509","216963_s_at",0.068233697780582,4.35076282216362,1.10038862486303,0.27173795339441,0.378050421561873,-6.44053543914337,2596
"21510","204082_at",0.28824776217654,7.74109269154336,1.10035382381533,0.27175309408646,0.378053909225627,-6.44057342812216,5090
"21511","224243_at",-0.0602996284980284,6.16706531528444,-1.09996485188039,0.27192236131247,0.378271802329708,-6.44099795029139,116519
"21512","211558_s_at",0.107430977089388,7.64428169152199,1.09989545938588,0.271952566153146,0.378296234174727,-6.44107366924516,NA
"21513","203337_x_at",-0.182267736301889,5.99173656606207,-1.09981033306933,0.271989622685726,0.378322874911472,-6.44116654997127,9270
"21514","224927_at",-0.132267857881196,9.97945728658729,-1.09979337894915,0.271997003436887,0.378322874911472,-6.4411850476388,170954
"21515","223118_s_at",0.133054917535457,4.24246919268217,1.09972110882458,0.272028466819212,0.378349051410556,-6.44126389424259,55031
"21516","224461_s_at",-0.114937061559467,4.91705402536,-1.09960348245539,0.272079681753832,0.378397568639593,-6.44139221342417,84883
